,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
711,Paco Rabanne,Cologne,4.5,-0.15023474178403756,-0.2566751120639252,86.0,No,No,No,9.304217753435424
712,philosophy,Perfume,4.5,9.136150234741784,5.632430325472617,50.0,No,No,No,7.414182971912106
713,philosophy,Perfume,4.5,7.52112676056338,2.358214772948743,50.0,No,No,No,7.414182971912106
714,philosophy,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3888130968622101,58.0,Yes,No,Yes,7.901441522764385
715,philosophy,Perfume,4.5,0.9671361502347418,0.7990645098421361,50.0,No,No,No,7.414182971912106
716,philosophy,Perfume,4.0,0.19718309859154928,-0.019489378288832588,60.0,No,No,No,8.01579744448119
717,philosophy,Perfume,4.5,5.117370892018779,1.3837458585071136,50.0,No,No,No,7.414182971912106
718,philosophy,Perfume,4.0,1.5586854460093897,1.0914051841746248,42.0,No,No,No,6.868662914071963
719,philosophy,Perfume,4.0,0.4225352112676056,-0.1364256480218281,50.0,Yes,No,No,7.414182971912106
720,philosophy,Perfume Gift Sets,4.0,-0.24413145539906103,-0.3699083999220425,74.0,No,No,No,8.749506568302204
721,philosophy,Perfume,4.0,0.07511737089201878,0.0,50.0,No,No,No,7.414182971912106
722,philosophy,Perfume,4.5,3.6901408450704225,0.05846813486649776,50.0,No,No,Yes,7.414182971912106
723,philosophy,Perfume Gift Sets,4.5,-0.22535211267605634,-0.24829467939972716,49.0,Yes,No,Yes,7.349509945238935
724,philosophy,Perfume,4.0,0.7136150234741784,-0.019489378288832588,50.0,No,No,No,7.414182971912106
725,PHLUR,Perfume,4.5,-0.056338028169014086,-0.19489378288832587,96.0,No,No,No,9.726295563932634
726,PHLUR,Perfume,4.5,0.2535211267605634,0.05846813486649776,96.0,No,No,No,9.726295563932634
727,PHLUR,Perfume,4.0,0.0,-0.2798674722276359,96.0,No,No,No,9.726295563932634
728,PHLUR,Perfume Gift Sets,4.0,-0.19718309859154928,-0.2652504385110115,18.0,No,No,No,4.586386148823696
729,PHLUR,Perfume,4.5,-0.15023474178403756,-0.2944845059442604,96.0,No,No,No,9.726295563932634
730,PHLUR,Cologne,4.5,-0.13145539906103287,-0.27850321574741765,96.0,No,No,No,9.726295563932634
731,PHLUR,Perfume,4.5,-0.08450704225352113,-0.21438316117715844,96.0,No,No,No,9.726295563932634
732,PHLUR,Perfume,4.5,-0.1784037558685446,-0.2968232313389203,96.0,No,No,No,9.726295563932634
733,PHLUR,Perfume,4.5,-0.12206572769953052,-0.2742155525238745,96.0,No,No,No,9.726295563932634
734,Pink Sugar,Perfume,4.5,27.91549295774648,8.789709608263497,30.0,No,Yes,No,5.892806489984965
735,PINROSE,Perfume,4.0,1.164319248826291,1.2473202104852856,77.0,No,Yes,No,8.893784278203992
